i	j	sigma	hit	hit_l1_err	hit_l2_err	miss	miss_l1_err	miss_l2_err	l1_err	l2_err	max_err
0	0	0.001	1024	7.6505e-06	1.17303e-05	0	-nan	-nan	4.34549e-07	5.21548e-07	6.81644e-05
0	1	0.001	1024	7.50135e-06	1.23655e-05	0	-nan	-nan	4.34489e-07	5.25118e-07	0.000147971
0	2	0.001	1023	7.79401e-06	1.36142e-05	0	-nan	-nan	6.72995e-07	0.000488282	1
0	3	0.001	1024	7.1842e-06	1.19954e-05	0	-nan	-nan	4.34352e-07	5.23018e-07	0.000121154
0	4	0.001	1024	7.54045e-06	1.25375e-05	0	-nan	-nan	4.34499e-07	5.26113e-07	0.000142714
0	5	0.001	1024	7.70021e-06	1.26585e-05	0	-nan	-nan	4.34496e-07	5.2682e-07	0.000115254
0	6	0.001	1024	7.73353e-06	1.24945e-05	0	-nan	-nan	4.34576e-07	5.25863e-07	8.96778e-05
0	7	0.001	1024	7.50485e-06	1.22037e-05	0	-nan	-nan	4.345e-07	5.24194e-07	0.000121743
0	8	0.001	1024	7.80421e-06	1.2813e-05	0	-nan	-nan	4.34587e-07	5.27731e-07	0.000108093
0	9	0.001	1024	7.63124e-06	1.25129e-05	0	-nan	-nan	4.34656e-07	5.2597e-07	0.000119772
1	0	0.00316228	1024	2.19571e-05	3.50635e-05	0	-nan	-nan	1.37365e-06	1.6384e-06	0.000317511
1	1	0.00316228	1024	2.35402e-05	3.82108e-05	0	-nan	-nan	1.37419e-06	1.65549e-06	0.000356198
1	2	0.00316228	1024	2.32814e-05	3.6057e-05	1	0.000259227	0.000259227	1.37411e-06	1.64852e-06	0.000324401
1	3	0.00316228	1024	2.27224e-05	3.41651e-05	0	-nan	-nan	1.37369e-06	1.63376e-06	0.000254913
1	4	0.00316228	1024	2.41681e-05	4.42071e-05	1	8.66702e-05	8.66702e-05	1.37418e-06	1.69207e-06	0.000540204
1	5	0.00316228	1024	2.29186e-05	3.91792e-05	0	-nan	-nan	1.37398e-06	1.66101e-06	0.000405168
1	6	0.00316228	1024	2.37743e-05	3.83054e-05	0	-nan	-nan	1.37412e-06	1.65602e-06	0.000380216
